PTTAX,VTSMX,AGTHX,VFINX,VBMFX
9.905073,54.771528,41.807251,201.711645,10.561309
9.875328,54.543846,41.563151,201.008964,10.541476
9.895158,54.573546,41.563151,201.088127,10.571226
9.905073,54.969506,41.882362,202.275784,10.561309
9.924903,55.216983,41.995023,202.968574,10.571226
9.954648,55.919819,42.417509,205.68037,10.600976
9.934819,56.127699,42.548948,206.145517,10.571226
9.895158,56.394974,42.746107,207.362864,10.531559
9.914988,56.266285,42.558339,207.145128,10.531559
9.905073,56.592952,42.886937,208.530708,10.541476
9.835668,56.097999,42.558339,206.848213,10.481975
9.815838,56.325681,42.671001,207.659778,10.462142
9.825753,56.246486,42.530171,207.303484,10.472059
9.865413,56.381912,42.548948,207.719158,10.501809
9.855498,56.620905,42.671001,208.501018,10.491892
9.875328,56.461578,42.630001,207.987268,10.506774
9.875328,56.302251,42.5,207.62884,10.506774
9.885244,56.421745,42.52,207.907631,10.506774
9.875328,56.561156,42.669998,208.375564,10.496852
9.905073,56.073218,42.380001,206.673043,10.526616
9.924903,56.073218,42.299999,206.623259,10.54646
9.946764,55.82427,42.040001,205.667462,10.587218
9.966638,56.282335,42.41,207.419767,10.587218
9.966638,56.730443,42.740002,208.654354,10.597159
10.026259,56.620905,42.860001,208.49505,10.646864
9.996449,56.790188,43.07,209.291557,10.6071
10.016322,56.571116,43.029999,208.544834,10.636923
10.026259,56.640821,43.200001,208.544834,10.626982
10.036196,56.790188,43.310001,209.15217,10.636923
10.026259,56.640821,43.27,208.704124,10.636923
10.016322,56.790188,43.439999,209.092419,10.617042
10.046132,56.5512,43.299999,208.465182,10.656806
9.986512,56.69061,43.41,208.873379,10.597159
9.986512,56.461578,43.419998,208.116705,10.577277
9.996449,56.650778,43.57,208.82361,10.587218
10.036196,56.501411,43.549999,208.266044,10.617042
9.996449,56.939559,43.939999,209.630068,10.587218
9.966638,57.407584,44.310001,211.312687,10.557395
9.996449,57.337879,44.369999,211.163333,10.567336
10.016322,57.258213,44.360001,210.994077,10.577277
10.016322,56.869854,44,209.729622,10.577277
10.034241,56.88977,43.950001,209.540465,10.618116
10.034241,56.899726,44.040001,209.649985,10.598195
10.024286,56.929599,44.080002,209.789373,10.598195
10.024286,57.397624,44.27,211.322637,10.608155
10.074059,57.248257,44.139999,210.874607,10.638038
10.084014,57.228341,44.060001,210.934342,10.647998
10.103923,57.288086,44.139999,211.143431,10.677881
10.074059,57.676445,44.389999,212.397921,10.638038
10.074059,57.905481,44.599998,213.174511,10.638038
10.064104,58.204219,44.830002,214.339398,10.628077
10.034241,58.433252,44.919998,215.265342,10.608155
10.014332,58.731989,45.040001,216.370493,10.588234
10.044195,58.662284,44.93,216.201222,10.618116
10.074059,58.761862,44.990002,216.569616,10.628077
10.074059,59.130309,45.200001,217.87389,10.628077
10.084014,59.040687,45.07,217.65485,10.638038
10.093969,59.010811,44.98,217.774321,10.647998
10.133787,59.110392,44.970001,218.142715,10.687841
10.103923,59.239847,45.110001,218.401573,10.657959
10.123871,59.000854,44.990002,217.844022,10.687897
10.054051,59.827366,45.59,220.860782,10.62802
10.044077,59.429047,45.27,219.586376,10.618041
10.054051,59.458919,45.360001,219.695896,10.618041
10.054051,59.239847,45.240002,218.979041,10.608062
10.024129,59.030727,45.110001,218.361755,10.598082
10.00418,58.88136,44.98,217.923675,10.568144
9.984232,58.891316,45.060001,218.09293,10.538207
9.994206,59.08052,45.209999,218.809785,10.548185
9.974257,59.150225,45.360001,218.959124,10.528227
9.974257,58.941105,45.18,218.222352,10.538207
10.034103,59.488796,45.619999,220.064275,10.588103
