std,mean,ETFname,log_mean,log_std,sharpe ratio
1.35087361,0.024693338,PIN,0.015546138,1.355065124,0.238439113
1.026421167,0.007233286,PIO,0.001964313,1.027976561,0.091876704
1.010162165,0.00576278,PIZ,0.000621926,1.017334075,0.057504738
1.395566371,0.002130583,PJP,-0.007620513,1.398881784,-0.0690134
1.174412513,0.057713633,PKB,0.050812032,1.174876963,0.754123241
0.914928308,0.019603876,PKW,0.015415687,0.916369046,0.340120453
1.451151786,-0.002211633,PLND,-0.012776938,1.456894789,-0.1082973
0.510599702,0.005409582,PLW,0.004107413,0.510831388,0.088505101
0.999389419,-0.010095754,PMR,-0.015092524,1.001024774,-0.20713268
1.178416401,0.065020693,PNQI,0.058046036,1.181689744,0.871380574
0.915878487,0.047836677,PPA,0.043642892,0.915376266,0.862194285
1.011936435,0.04281969,PUI,0.037686165,1.014136291,0.678143531
1.322060258,0.062448602,QABA,0.053695793,1.323596264,0.703929226
0.27505972,-0.001055135,QAI,-0.00143295,0.275157711,-0.006960202
1.373821994,-0.006033245,QAT,-0.015441939,1.372579222,-0.113863766
1.344455141,0.024472929,QAUS,0.015445631,1.344987069,0.226458431
1.139549376,0.008222395,QCAN,0.001766638,1.136203357,0.074330828
1.392424473,0.00298366,QCLN,-0.006716718,1.394985172,-0.008132997
0.784450068,0.033105735,QDEF,0.03002583,0.78516281,0.69472713
1.13793711,0.022472681,QDEU,0.015992329,1.140051236,0.3003435
0.818610656,0.033000212,QDF,0.029647166,0.819277826,0.678270472
0.861803864,0.029740342,QDYN,0.026019144,0.863644558,0.571372542
0.974690709,0.022356875,QEFA,0.01759743,0.977187134,0.383415229
0.664603072,0.007888385,QEH,0.005677576,0.665976983,0.203664973
1.133126381,0.0133072,QEMM,0.006887981,1.134518752,0.152678086
2.409617764,0.021506303,QESP,-0.004639407,2.241137234,-0.039490793
7.242876821,0.239675867,QGBR,-0.003251943,6.919864085,0.003662359
2.019104788,-0.102060292,QID,-0.122434647,2.016432321,-0.866684318
0.777768084,0.022321038,QINC,0.019297203,0.778257417,0.501948816
1.036705545,0.036059242,QJPN,0.030660731,1.040968886,0.55829825
2.015687608,0.094629112,QLD,0.074227908,2.022671397,0.719708588
0.29554106,0.010745017,QLTA,0.010308415,0.295589574,0.513819087
0.232112418,0.001421819,QMN,0.001152848,0.232146518,0.140371077
1.006457235,0.037689071,QQEW,0.032612331,1.008719978,0.609012701
1.016274687,0.050417987,QQQ,0.045241999,1.017782864,0.802572419
1.866529684,0.039081473,QQQC,0.021722365,1.864154677,0.180467329
1.004212475,0.03859543,QQQE,0.033537226,1.007025163,0.623060588
0.968791204,0.024589122,QQXT,0.01988674,0.971224195,0.386092425
1.146584176,0.063150644,QTEC,0.056557078,1.148536261,0.954043495
0.846116072,0.035232625,QUAL,0.031651479,0.846575432,0.678151562
1.063207453,0.003670313,QVAL,-0.001979133,1.064264509,0.01734063
0.802735439,0.034291303,QWLD,0.031076981,0.801443614,0.660416288
0.691329888,0.027338831,QYLD,0.024942644,0.692945012,0.633619117
0.404983629,-0.008514762,RALS,-0.009333239,0.404776136,-0.347430759
0.080692267,0.003028946,RAVI,0.002996401,0.080691562,0.584003219
1.998515573,0.081898426,RBL,0.061984314,1.995363456,0.538615122
1.00430229,0.014544239,RCD,0.009497567,1.006087015,0.200971145
0.948525247,0.039933302,RDIV,0.035435029,0.948674331,0.702453621
0.989131733,0.041639165,RDVY,0.036741922,0.990152994,0.721400404
0.897256043,0.039165972,REM,0.035139639,0.897510634,0.746297083
1.634093688,-0.037875747,REMX,-0.051222314,1.634894528,-0.540281745
3.044561247,0.080194832,RETL,0.033446374,3.068557265,0.17199509
2.132341995,-0.110898606,REW,-0.133629969,2.129701288,-0.827132389
1.071656924,0.035147798,REZ,0.029388839,1.074748347,0.421789663
